,0,1,2,3
1,"""Ethereum""","""2015-08-01T00:00:00.000Z""","""Ethereum""",1
2,"""Ethereum""","""2015-09-01T00:00:00.000Z""","""Ethereum""",0
3,"""Ethereum""","""2015-10-01T00:00:00.000Z""","""Ethereum""",0
4,"""Ethereum""","""2015-11-01T00:00:00.000Z""","""Ethereum""",1
5,"""Ethereum""","""2015-12-01T00:00:00.000Z""","""Ethereum""",0
6,"""Ethereum""","""2016-01-01T00:00:00.000Z""","""Ethereum""",1
7,"""Ethereum""","""2016-02-01T00:00:00.000Z""","""Ethereum""",2
8,"""Ethereum""","""2016-03-01T00:00:00.000Z""","""Ethereum""",4
9,"""Ethereum""","""2016-04-01T00:00:00.000Z""","""Ethereum""",2
10,"""Ethereum""","""2016-05-01T00:00:00.000Z""","""Ethereum""",4
11,"""Ethereum""","""2016-06-01T00:00:00.000Z""","""Ethereum""",5
12,"""Ethereum""","""2016-07-01T00:00:00.000Z""","""Ethereum""",4
13,"""Ethereum""","""2016-08-01T00:00:00.000Z""","""Ethereum""",3
14,"""Ethereum""","""2016-09-01T00:00:00.000Z""","""Ethereum""",2
15,"""Ethereum""","""2016-10-01T00:00:00.000Z""","""Ethereum""",2
16,"""Ethereum""","""2016-11-01T00:00:00.000Z""","""Ethereum""",2
17,"""Ethereum""","""2016-12-01T00:00:00.000Z""","""Ethereum""",2
18,"""Ethereum""","""2017-01-01T00:00:00.000Z""","""Ethereum""",3
19,"""Ethereum""","""2017-02-01T00:00:00.000Z""","""Ethereum""",3
20,"""Ethereum""","""2017-03-01T00:00:00.000Z""","""Ethereum""",8
21,"""Ethereum""","""2017-04-01T00:00:00.000Z""","""Ethereum""",7
22,"""Ethereum""","""2017-05-01T00:00:00.000Z""","""Ethereum""",24
23,"""Ethereum""","""2017-06-01T00:00:00.000Z""","""Ethereum""",51
24,"""Ethereum""","""2017-07-01T00:00:00.000Z""","""Ethereum""",32
25,"""Ethereum""","""2017-08-01T00:00:00.000Z""","""Ethereum""",27
26,"""Ethereum""","""2017-09-01T00:00:00.000Z""","""Ethereum""",24
27,"""Ethereum""","""2017-10-01T00:00:00.000Z""","""Ethereum""",21
28,"""Ethereum""","""2017-11-01T00:00:00.000Z""","""Ethereum""",38
29,"""Ethereum""","""2017-12-01T00:00:00.000Z""","""Ethereum""",71
30,"""Ethereum""","""2018-01-01T00:00:00.000Z""","""Ethereum""",66
31,"""Ethereum""","""2018-02-01T00:00:00.000Z""","""Ethereum""",31
32,"""Ethereum""","""2018-03-01T00:00:00.000Z""","""Ethereum""",19
33,"""Ethereum""","""2018-04-01T00:00:00.000Z""","""Ethereum""",16
34,"""Ethereum""","""2018-05-01T00:00:00.000Z""","""Ethereum""",16
35,"""Ethereum""","""2018-06-01T00:00:00.000Z""","""Ethereum""",12
36,"""Ethereum""","""2018-07-01T00:00:00.000Z""","""Ethereum""",10
37,"""Ethereum""","""2018-08-01T00:00:00.000Z""","""Ethereum""",12
38,"""Ethereum""","""2018-09-01T00:00:00.000Z""","""Ethereum""",11
39,"""Ethereum""","""2018-10-01T00:00:00.000Z""","""Ethereum""",7
40,"""Ethereum""","""2018-11-01T00:00:00.000Z""","""Ethereum""",9
41,"""Ethereum""","""2018-12-01T00:00:00.000Z""","""Ethereum""",9
42,"""Ethereum""","""2019-01-01T00:00:00.000Z""","""Ethereum""",8
43,"""Ethereum""","""2019-02-01T00:00:00.000Z""","""Ethereum""",7
44,"""Ethereum""","""2019-03-01T00:00:00.000Z""","""Ethereum""",6
45,"""Ethereum""","""2019-04-01T00:00:00.000Z""","""Ethereum""",7
46,"""Ethereum""","""2019-05-01T00:00:00.000Z""","""Ethereum""",10
47,"""Ethereum""","""2019-06-01T00:00:00.000Z""","""Ethereum""",10
48,"""Ethereum""","""2019-07-01T00:00:00.000Z""","""Ethereum""",16
49,"""Ethereum""","""2019-08-01T00:00:00.000Z""","""Ethereum""",6
50,"""Ethereum""","""2019-09-01T00:00:00.000Z""","""Ethereum""",6
51,"""Ethereum""","""2019-10-01T00:00:00.000Z""","""Ethereum""",5
52,"""Ethereum""","""2019-11-01T00:00:00.000Z""","""Ethereum""",5
53,"""Ethereum""","""2019-12-01T00:00:00.000Z""","""Ethereum""",5
54,"""Ethereum""","""2020-01-01T00:00:00.000Z""","""Ethereum""",7
55,"""Ethereum""","""2020-02-01T00:00:00.000Z""","""Ethereum""",12
56,"""Ethereum""","""2020-03-01T00:00:00.000Z""","""Ethereum""",9
57,"""Ethereum""","""2020-04-01T00:00:00.000Z""","""Ethereum""",10
58,"""Ethereum""","""2020-05-01T00:00:00.000Z""","""Ethereum""",12
59,"""Ethereum""","""2020-06-01T00:00:00.000Z""","""Ethereum""",11
60,"""Ethereum""","""2020-07-01T00:00:00.000Z""","""Ethereum""",15
61,"""Ethereum""","""2020-08-01T00:00:00.000Z""","""Ethereum""",21
62,"""Ethereum""","""2020-09-01T00:00:00.000Z""","""Ethereum""",15
63,"""Ethereum""","""2020-10-01T00:00:00.000Z""","""Ethereum""",11
64,"""Ethereum""","""2020-11-01T00:00:00.000Z""","""Ethereum""",22
65,"""Ethereum""","""2020-12-01T00:00:00.000Z""","""Ethereum""",27
66,"""Ethereum""","""2021-01-01T00:00:00.000Z""","""Ethereum""",88
67,"""Ethereum""","""2021-02-01T00:00:00.000Z""","""Ethereum""",100
68,"""Ethereum""","""2021-03-01T00:00:00.000Z""","""Ethereum""",64
69,"""Ethereum""","""2021-04-01T00:00:00.000Z""","""Ethereum""",90
