,0,1,2,3
1,"""bitcoin""","""2015-08-01T00:00:00.000Z""","""bitcoin""",3
2,"""bitcoin""","""2015-09-01T00:00:00.000Z""","""bitcoin""",2
3,"""bitcoin""","""2015-10-01T00:00:00.000Z""","""bitcoin""",2
4,"""bitcoin""","""2015-11-01T00:00:00.000Z""","""bitcoin""",3
5,"""bitcoin""","""2015-12-01T00:00:00.000Z""","""bitcoin""",3
6,"""bitcoin""","""2016-01-01T00:00:00.000Z""","""bitcoin""",3
7,"""bitcoin""","""2016-02-01T00:00:00.000Z""","""bitcoin""",3
8,"""bitcoin""","""2016-03-01T00:00:00.000Z""","""bitcoin""",3
9,"""bitcoin""","""2016-04-01T00:00:00.000Z""","""bitcoin""",3
10,"""bitcoin""","""2016-05-01T00:00:00.000Z""","""bitcoin""",3
11,"""bitcoin""","""2016-06-01T00:00:00.000Z""","""bitcoin""",4
12,"""bitcoin""","""2016-07-01T00:00:00.000Z""","""bitcoin""",3
13,"""bitcoin""","""2016-08-01T00:00:00.000Z""","""bitcoin""",3
14,"""bitcoin""","""2016-09-01T00:00:00.000Z""","""bitcoin""",3
15,"""bitcoin""","""2016-10-01T00:00:00.000Z""","""bitcoin""",3
16,"""bitcoin""","""2016-11-01T00:00:00.000Z""","""bitcoin""",4
17,"""bitcoin""","""2016-12-01T00:00:00.000Z""","""bitcoin""",4
18,"""bitcoin""","""2017-01-01T00:00:00.000Z""","""bitcoin""",6
19,"""bitcoin""","""2017-02-01T00:00:00.000Z""","""bitcoin""",5
20,"""bitcoin""","""2017-03-01T00:00:00.000Z""","""bitcoin""",7
21,"""bitcoin""","""2017-04-01T00:00:00.000Z""","""bitcoin""",6
22,"""bitcoin""","""2017-05-01T00:00:00.000Z""","""bitcoin""",14
23,"""bitcoin""","""2017-06-01T00:00:00.000Z""","""bitcoin""",14
24,"""bitcoin""","""2017-07-01T00:00:00.000Z""","""bitcoin""",13
25,"""bitcoin""","""2017-08-01T00:00:00.000Z""","""bitcoin""",20
26,"""bitcoin""","""2017-09-01T00:00:00.000Z""","""bitcoin""",20
27,"""bitcoin""","""2017-10-01T00:00:00.000Z""","""bitcoin""",22
28,"""bitcoin""","""2017-11-01T00:00:00.000Z""","""bitcoin""",44
29,"""bitcoin""","""2017-12-01T00:00:00.000Z""","""bitcoin""",100
30,"""bitcoin""","""2018-01-01T00:00:00.000Z""","""bitcoin""",53
31,"""bitcoin""","""2018-02-01T00:00:00.000Z""","""bitcoin""",39
32,"""bitcoin""","""2018-03-01T00:00:00.000Z""","""bitcoin""",22
33,"""bitcoin""","""2018-04-01T00:00:00.000Z""","""bitcoin""",18
34,"""bitcoin""","""2018-05-01T00:00:00.000Z""","""bitcoin""",14
35,"""bitcoin""","""2018-06-01T00:00:00.000Z""","""bitcoin""",13
36,"""bitcoin""","""2018-07-01T00:00:00.000Z""","""bitcoin""",13
37,"""bitcoin""","""2018-08-01T00:00:00.000Z""","""bitcoin""",12
38,"""bitcoin""","""2018-09-01T00:00:00.000Z""","""bitcoin""",11
39,"""bitcoin""","""2018-10-01T00:00:00.000Z""","""bitcoin""",9
40,"""bitcoin""","""2018-11-01T00:00:00.000Z""","""bitcoin""",13
41,"""bitcoin""","""2018-12-01T00:00:00.000Z""","""bitcoin""",13
42,"""bitcoin""","""2019-01-01T00:00:00.000Z""","""bitcoin""",9
43,"""bitcoin""","""2019-02-01T00:00:00.000Z""","""bitcoin""",9
44,"""bitcoin""","""2019-03-01T00:00:00.000Z""","""bitcoin""",8
45,"""bitcoin""","""2019-04-01T00:00:00.000Z""","""bitcoin""",12
46,"""bitcoin""","""2019-05-01T00:00:00.000Z""","""bitcoin""",17
47,"""bitcoin""","""2019-06-01T00:00:00.000Z""","""bitcoin""",19
48,"""bitcoin""","""2019-07-01T00:00:00.000Z""","""bitcoin""",17
49,"""bitcoin""","""2019-08-01T00:00:00.000Z""","""bitcoin""",15
50,"""bitcoin""","""2019-09-01T00:00:00.000Z""","""bitcoin""",12
51,"""bitcoin""","""2019-10-01T00:00:00.000Z""","""bitcoin""",12
52,"""bitcoin""","""2019-11-01T00:00:00.000Z""","""bitcoin""",11
53,"""bitcoin""","""2019-12-01T00:00:00.000Z""","""bitcoin""",10
54,"""bitcoin""","""2020-01-01T00:00:00.000Z""","""bitcoin""",12
55,"""bitcoin""","""2020-02-01T00:00:00.000Z""","""bitcoin""",14
56,"""bitcoin""","""2020-03-01T00:00:00.000Z""","""bitcoin""",18
57,"""bitcoin""","""2020-04-01T00:00:00.000Z""","""bitcoin""",16
58,"""bitcoin""","""2020-05-01T00:00:00.000Z""","""bitcoin""",19
59,"""bitcoin""","""2020-06-01T00:00:00.000Z""","""bitcoin""",13
60,"""bitcoin""","""2020-07-01T00:00:00.000Z""","""bitcoin""",13
61,"""bitcoin""","""2020-08-01T00:00:00.000Z""","""bitcoin""",16
62,"""bitcoin""","""2020-09-01T00:00:00.000Z""","""bitcoin""",12
63,"""bitcoin""","""2020-10-01T00:00:00.000Z""","""bitcoin""",13
64,"""bitcoin""","""2020-11-01T00:00:00.000Z""","""bitcoin""",23
65,"""bitcoin""","""2020-12-01T00:00:00.000Z""","""bitcoin""",30
66,"""bitcoin""","""2021-01-01T00:00:00.000Z""","""bitcoin""",63
67,"""bitcoin""","""2021-02-01T00:00:00.000Z""","""bitcoin""",66
68,"""bitcoin""","""2021-03-01T00:00:00.000Z""","""bitcoin""",47
69,"""bitcoin""","""2021-04-01T00:00:00.000Z""","""bitcoin""",50
