,0,1,2,3
1,"""blockchain""","""2015-08-01T00:00:00.000Z""","""blockchain""",4
2,"""blockchain""","""2015-09-01T00:00:00.000Z""","""blockchain""",5
3,"""blockchain""","""2015-10-01T00:00:00.000Z""","""blockchain""",5
4,"""blockchain""","""2015-11-01T00:00:00.000Z""","""blockchain""",7
5,"""blockchain""","""2015-12-01T00:00:00.000Z""","""blockchain""",7
6,"""blockchain""","""2016-01-01T00:00:00.000Z""","""blockchain""",7
7,"""blockchain""","""2016-02-01T00:00:00.000Z""","""blockchain""",8
8,"""blockchain""","""2016-03-01T00:00:00.000Z""","""blockchain""",9
9,"""blockchain""","""2016-04-01T00:00:00.000Z""","""blockchain""",10
10,"""blockchain""","""2016-05-01T00:00:00.000Z""","""blockchain""",11
11,"""blockchain""","""2016-06-01T00:00:00.000Z""","""blockchain""",12
12,"""blockchain""","""2016-07-01T00:00:00.000Z""","""blockchain""",11
13,"""blockchain""","""2016-08-01T00:00:00.000Z""","""blockchain""",11
14,"""blockchain""","""2016-09-01T00:00:00.000Z""","""blockchain""",13
15,"""blockchain""","""2016-10-01T00:00:00.000Z""","""blockchain""",14
16,"""blockchain""","""2016-11-01T00:00:00.000Z""","""blockchain""",15
17,"""blockchain""","""2016-12-01T00:00:00.000Z""","""blockchain""",15
18,"""blockchain""","""2017-01-01T00:00:00.000Z""","""blockchain""",16
19,"""blockchain""","""2017-02-01T00:00:00.000Z""","""blockchain""",18
20,"""blockchain""","""2017-03-01T00:00:00.000Z""","""blockchain""",21
21,"""blockchain""","""2017-04-01T00:00:00.000Z""","""blockchain""",18
22,"""blockchain""","""2017-05-01T00:00:00.000Z""","""blockchain""",29
23,"""blockchain""","""2017-06-01T00:00:00.000Z""","""blockchain""",33
24,"""blockchain""","""2017-07-01T00:00:00.000Z""","""blockchain""",29
25,"""blockchain""","""2017-08-01T00:00:00.000Z""","""blockchain""",34
26,"""blockchain""","""2017-09-01T00:00:00.000Z""","""blockchain""",39
27,"""blockchain""","""2017-10-01T00:00:00.000Z""","""blockchain""",50
28,"""blockchain""","""2017-11-01T00:00:00.000Z""","""blockchain""",65
29,"""blockchain""","""2017-12-01T00:00:00.000Z""","""blockchain""",100
30,"""blockchain""","""2018-01-01T00:00:00.000Z""","""blockchain""",88
31,"""blockchain""","""2018-02-01T00:00:00.000Z""","""blockchain""",63
32,"""blockchain""","""2018-03-01T00:00:00.000Z""","""blockchain""",56
33,"""blockchain""","""2018-04-01T00:00:00.000Z""","""blockchain""",50
34,"""blockchain""","""2018-05-01T00:00:00.000Z""","""blockchain""",53
35,"""blockchain""","""2018-06-01T00:00:00.000Z""","""blockchain""",47
36,"""blockchain""","""2018-07-01T00:00:00.000Z""","""blockchain""",43
37,"""blockchain""","""2018-08-01T00:00:00.000Z""","""blockchain""",42
38,"""blockchain""","""2018-09-01T00:00:00.000Z""","""blockchain""",44
39,"""blockchain""","""2018-10-01T00:00:00.000Z""","""blockchain""",45
40,"""blockchain""","""2018-11-01T00:00:00.000Z""","""blockchain""",42
41,"""blockchain""","""2018-12-01T00:00:00.000Z""","""blockchain""",31
42,"""blockchain""","""2019-01-01T00:00:00.000Z""","""blockchain""",33
43,"""blockchain""","""2019-02-01T00:00:00.000Z""","""blockchain""",34
44,"""blockchain""","""2019-03-01T00:00:00.000Z""","""blockchain""",32
45,"""blockchain""","""2019-04-01T00:00:00.000Z""","""blockchain""",37
46,"""blockchain""","""2019-05-01T00:00:00.000Z""","""blockchain""",40
47,"""blockchain""","""2019-06-01T00:00:00.000Z""","""blockchain""",35
48,"""blockchain""","""2019-07-01T00:00:00.000Z""","""blockchain""",32
49,"""blockchain""","""2019-08-01T00:00:00.000Z""","""blockchain""",29
50,"""blockchain""","""2019-09-01T00:00:00.000Z""","""blockchain""",30
51,"""blockchain""","""2019-10-01T00:00:00.000Z""","""blockchain""",28
52,"""blockchain""","""2019-11-01T00:00:00.000Z""","""blockchain""",29
53,"""blockchain""","""2019-12-01T00:00:00.000Z""","""blockchain""",25
54,"""blockchain""","""2020-01-01T00:00:00.000Z""","""blockchain""",27
55,"""blockchain""","""2020-02-01T00:00:00.000Z""","""blockchain""",28
56,"""blockchain""","""2020-03-01T00:00:00.000Z""","""blockchain""",23
57,"""blockchain""","""2020-04-01T00:00:00.000Z""","""blockchain""",26
58,"""blockchain""","""2020-05-01T00:00:00.000Z""","""blockchain""",27
59,"""blockchain""","""2020-06-01T00:00:00.000Z""","""blockchain""",25
60,"""blockchain""","""2020-07-01T00:00:00.000Z""","""blockchain""",27
61,"""blockchain""","""2020-08-01T00:00:00.000Z""","""blockchain""",28
62,"""blockchain""","""2020-09-01T00:00:00.000Z""","""blockchain""",25
63,"""blockchain""","""2020-10-01T00:00:00.000Z""","""blockchain""",23
64,"""blockchain""","""2020-11-01T00:00:00.000Z""","""blockchain""",29
65,"""blockchain""","""2020-12-01T00:00:00.000Z""","""blockchain""",29
66,"""blockchain""","""2021-01-01T00:00:00.000Z""","""blockchain""",44
67,"""blockchain""","""2021-02-01T00:00:00.000Z""","""blockchain""",58
68,"""blockchain""","""2021-03-01T00:00:00.000Z""","""blockchain""",50
69,"""blockchain""","""2021-04-01T00:00:00.000Z""","""blockchain""",53
