,0,1,2,3
1,"""cryptocurrency""","""2015-08-01T00:00:00.000Z""","""cryptocurrency""",0
2,"""cryptocurrency""","""2015-09-01T00:00:00.000Z""","""cryptocurrency""",0
3,"""cryptocurrency""","""2015-10-01T00:00:00.000Z""","""cryptocurrency""",0
4,"""cryptocurrency""","""2015-11-01T00:00:00.000Z""","""cryptocurrency""",0
5,"""cryptocurrency""","""2015-12-01T00:00:00.000Z""","""cryptocurrency""",0
6,"""cryptocurrency""","""2016-01-01T00:00:00.000Z""","""cryptocurrency""",0
7,"""cryptocurrency""","""2016-02-01T00:00:00.000Z""","""cryptocurrency""",1
8,"""cryptocurrency""","""2016-03-01T00:00:00.000Z""","""cryptocurrency""",1
9,"""cryptocurrency""","""2016-04-01T00:00:00.000Z""","""cryptocurrency""",1
10,"""cryptocurrency""","""2016-05-01T00:00:00.000Z""","""cryptocurrency""",1
11,"""cryptocurrency""","""2016-06-01T00:00:00.000Z""","""cryptocurrency""",1
12,"""cryptocurrency""","""2016-07-01T00:00:00.000Z""","""cryptocurrency""",1
13,"""cryptocurrency""","""2016-08-01T00:00:00.000Z""","""cryptocurrency""",1
14,"""cryptocurrency""","""2016-09-01T00:00:00.000Z""","""cryptocurrency""",1
15,"""cryptocurrency""","""2016-10-01T00:00:00.000Z""","""cryptocurrency""",1
16,"""cryptocurrency""","""2016-11-01T00:00:00.000Z""","""cryptocurrency""",1
17,"""cryptocurrency""","""2016-12-01T00:00:00.000Z""","""cryptocurrency""",1
18,"""cryptocurrency""","""2017-01-01T00:00:00.000Z""","""cryptocurrency""",1
19,"""cryptocurrency""","""2017-02-01T00:00:00.000Z""","""cryptocurrency""",1
20,"""cryptocurrency""","""2017-03-01T00:00:00.000Z""","""cryptocurrency""",2
21,"""cryptocurrency""","""2017-04-01T00:00:00.000Z""","""cryptocurrency""",2
22,"""cryptocurrency""","""2017-05-01T00:00:00.000Z""","""cryptocurrency""",8
23,"""cryptocurrency""","""2017-06-01T00:00:00.000Z""","""cryptocurrency""",15
24,"""cryptocurrency""","""2017-07-01T00:00:00.000Z""","""cryptocurrency""",12
25,"""cryptocurrency""","""2017-08-01T00:00:00.000Z""","""cryptocurrency""",18
26,"""cryptocurrency""","""2017-09-01T00:00:00.000Z""","""cryptocurrency""",19
27,"""cryptocurrency""","""2017-10-01T00:00:00.000Z""","""cryptocurrency""",18
28,"""cryptocurrency""","""2017-11-01T00:00:00.000Z""","""cryptocurrency""",30
29,"""cryptocurrency""","""2017-12-01T00:00:00.000Z""","""cryptocurrency""",88
30,"""cryptocurrency""","""2018-01-01T00:00:00.000Z""","""cryptocurrency""",100
31,"""cryptocurrency""","""2018-02-01T00:00:00.000Z""","""cryptocurrency""",49
32,"""cryptocurrency""","""2018-03-01T00:00:00.000Z""","""cryptocurrency""",29
33,"""cryptocurrency""","""2018-04-01T00:00:00.000Z""","""cryptocurrency""",22
34,"""cryptocurrency""","""2018-05-01T00:00:00.000Z""","""cryptocurrency""",19
35,"""cryptocurrency""","""2018-06-01T00:00:00.000Z""","""cryptocurrency""",16
36,"""cryptocurrency""","""2018-07-01T00:00:00.000Z""","""cryptocurrency""",14
37,"""cryptocurrency""","""2018-08-01T00:00:00.000Z""","""cryptocurrency""",13
38,"""cryptocurrency""","""2018-09-01T00:00:00.000Z""","""cryptocurrency""",13
39,"""cryptocurrency""","""2018-10-01T00:00:00.000Z""","""cryptocurrency""",12
40,"""cryptocurrency""","""2018-11-01T00:00:00.000Z""","""cryptocurrency""",12
41,"""cryptocurrency""","""2018-12-01T00:00:00.000Z""","""cryptocurrency""",10
42,"""cryptocurrency""","""2019-01-01T00:00:00.000Z""","""cryptocurrency""",9
43,"""cryptocurrency""","""2019-02-01T00:00:00.000Z""","""cryptocurrency""",9
44,"""cryptocurrency""","""2019-03-01T00:00:00.000Z""","""cryptocurrency""",8
45,"""cryptocurrency""","""2019-04-01T00:00:00.000Z""","""cryptocurrency""",9
46,"""cryptocurrency""","""2019-05-01T00:00:00.000Z""","""cryptocurrency""",10
47,"""cryptocurrency""","""2019-06-01T00:00:00.000Z""","""cryptocurrency""",13
48,"""cryptocurrency""","""2019-07-01T00:00:00.000Z""","""cryptocurrency""",10
49,"""cryptocurrency""","""2019-08-01T00:00:00.000Z""","""cryptocurrency""",8
50,"""cryptocurrency""","""2019-09-01T00:00:00.000Z""","""cryptocurrency""",7
51,"""cryptocurrency""","""2019-10-01T00:00:00.000Z""","""cryptocurrency""",7
52,"""cryptocurrency""","""2019-11-01T00:00:00.000Z""","""cryptocurrency""",6
53,"""cryptocurrency""","""2019-12-01T00:00:00.000Z""","""cryptocurrency""",6
54,"""cryptocurrency""","""2020-01-01T00:00:00.000Z""","""cryptocurrency""",7
55,"""cryptocurrency""","""2020-02-01T00:00:00.000Z""","""cryptocurrency""",9
56,"""cryptocurrency""","""2020-03-01T00:00:00.000Z""","""cryptocurrency""",9
57,"""cryptocurrency""","""2020-04-01T00:00:00.000Z""","""cryptocurrency""",9
58,"""cryptocurrency""","""2020-05-01T00:00:00.000Z""","""cryptocurrency""",10
59,"""cryptocurrency""","""2020-06-01T00:00:00.000Z""","""cryptocurrency""",8
60,"""cryptocurrency""","""2020-07-01T00:00:00.000Z""","""cryptocurrency""",10
61,"""cryptocurrency""","""2020-08-01T00:00:00.000Z""","""cryptocurrency""",12
62,"""cryptocurrency""","""2020-09-01T00:00:00.000Z""","""cryptocurrency""",10
63,"""cryptocurrency""","""2020-10-01T00:00:00.000Z""","""cryptocurrency""",8
64,"""cryptocurrency""","""2020-11-01T00:00:00.000Z""","""cryptocurrency""",12
65,"""cryptocurrency""","""2020-12-01T00:00:00.000Z""","""cryptocurrency""",16
66,"""cryptocurrency""","""2021-01-01T00:00:00.000Z""","""cryptocurrency""",33
67,"""cryptocurrency""","""2021-02-01T00:00:00.000Z""","""cryptocurrency""",48
68,"""cryptocurrency""","""2021-03-01T00:00:00.000Z""","""cryptocurrency""",31
69,"""cryptocurrency""","""2021-04-01T00:00:00.000Z""","""cryptocurrency""",53
