,0,1,2,3
1,"""mining""","""2015-08-01T00:00:00.000Z""","""mining""",35
2,"""mining""","""2015-09-01T00:00:00.000Z""","""mining""",36
3,"""mining""","""2015-10-01T00:00:00.000Z""","""mining""",36
4,"""mining""","""2015-11-01T00:00:00.000Z""","""mining""",34
5,"""mining""","""2015-12-01T00:00:00.000Z""","""mining""",34
6,"""mining""","""2016-01-01T00:00:00.000Z""","""mining""",35
7,"""mining""","""2016-02-01T00:00:00.000Z""","""mining""",38
8,"""mining""","""2016-03-01T00:00:00.000Z""","""mining""",39
9,"""mining""","""2016-04-01T00:00:00.000Z""","""mining""",39
10,"""mining""","""2016-05-01T00:00:00.000Z""","""mining""",38
11,"""mining""","""2016-06-01T00:00:00.000Z""","""mining""",37
12,"""mining""","""2016-07-01T00:00:00.000Z""","""mining""",36
13,"""mining""","""2016-08-01T00:00:00.000Z""","""mining""",38
14,"""mining""","""2016-09-01T00:00:00.000Z""","""mining""",38
15,"""mining""","""2016-10-01T00:00:00.000Z""","""mining""",37
16,"""mining""","""2016-11-01T00:00:00.000Z""","""mining""",39
17,"""mining""","""2016-12-01T00:00:00.000Z""","""mining""",35
18,"""mining""","""2017-01-01T00:00:00.000Z""","""mining""",39
19,"""mining""","""2017-02-01T00:00:00.000Z""","""mining""",42
20,"""mining""","""2017-03-01T00:00:00.000Z""","""mining""",43
21,"""mining""","""2017-04-01T00:00:00.000Z""","""mining""",41
22,"""mining""","""2017-05-01T00:00:00.000Z""","""mining""",47
23,"""mining""","""2017-06-01T00:00:00.000Z""","""mining""",63
24,"""mining""","""2017-07-01T00:00:00.000Z""","""mining""",57
25,"""mining""","""2017-08-01T00:00:00.000Z""","""mining""",57
26,"""mining""","""2017-09-01T00:00:00.000Z""","""mining""",57
27,"""mining""","""2017-10-01T00:00:00.000Z""","""mining""",57
28,"""mining""","""2017-11-01T00:00:00.000Z""","""mining""",73
29,"""mining""","""2017-12-01T00:00:00.000Z""","""mining""",100
30,"""mining""","""2018-01-01T00:00:00.000Z""","""mining""",95
31,"""mining""","""2018-02-01T00:00:00.000Z""","""mining""",69
32,"""mining""","""2018-03-01T00:00:00.000Z""","""mining""",58
33,"""mining""","""2018-04-01T00:00:00.000Z""","""mining""",52
34,"""mining""","""2018-05-01T00:00:00.000Z""","""mining""",51
35,"""mining""","""2018-06-01T00:00:00.000Z""","""mining""",47
36,"""mining""","""2018-07-01T00:00:00.000Z""","""mining""",47
37,"""mining""","""2018-08-01T00:00:00.000Z""","""mining""",47
38,"""mining""","""2018-09-01T00:00:00.000Z""","""mining""",46
39,"""mining""","""2018-10-01T00:00:00.000Z""","""mining""",45
40,"""mining""","""2018-11-01T00:00:00.000Z""","""mining""",45
41,"""mining""","""2018-12-01T00:00:00.000Z""","""mining""",40
42,"""mining""","""2019-01-01T00:00:00.000Z""","""mining""",42
43,"""mining""","""2019-02-01T00:00:00.000Z""","""mining""",45
44,"""mining""","""2019-03-01T00:00:00.000Z""","""mining""",42
45,"""mining""","""2019-04-01T00:00:00.000Z""","""mining""",41
46,"""mining""","""2019-05-01T00:00:00.000Z""","""mining""",40
47,"""mining""","""2019-06-01T00:00:00.000Z""","""mining""",40
48,"""mining""","""2019-07-01T00:00:00.000Z""","""mining""",43
49,"""mining""","""2019-08-01T00:00:00.000Z""","""mining""",42
50,"""mining""","""2019-09-01T00:00:00.000Z""","""mining""",44
51,"""mining""","""2019-10-01T00:00:00.000Z""","""mining""",41
52,"""mining""","""2019-11-01T00:00:00.000Z""","""mining""",42
53,"""mining""","""2019-12-01T00:00:00.000Z""","""mining""",38
54,"""mining""","""2020-01-01T00:00:00.000Z""","""mining""",41
55,"""mining""","""2020-02-01T00:00:00.000Z""","""mining""",42
56,"""mining""","""2020-03-01T00:00:00.000Z""","""mining""",38
57,"""mining""","""2020-04-01T00:00:00.000Z""","""mining""",41
58,"""mining""","""2020-05-01T00:00:00.000Z""","""mining""",43
59,"""mining""","""2020-06-01T00:00:00.000Z""","""mining""",44
60,"""mining""","""2020-07-01T00:00:00.000Z""","""mining""",47
61,"""mining""","""2020-08-01T00:00:00.000Z""","""mining""",48
62,"""mining""","""2020-09-01T00:00:00.000Z""","""mining""",48
63,"""mining""","""2020-10-01T00:00:00.000Z""","""mining""",45
64,"""mining""","""2020-11-01T00:00:00.000Z""","""mining""",44
65,"""mining""","""2020-12-01T00:00:00.000Z""","""mining""",44
66,"""mining""","""2021-01-01T00:00:00.000Z""","""mining""",62
67,"""mining""","""2021-02-01T00:00:00.000Z""","""mining""",81
68,"""mining""","""2021-03-01T00:00:00.000Z""","""mining""",73
69,"""mining""","""2021-04-01T00:00:00.000Z""","""mining""",72
