Date;bitcoin;blockchain;cryptocurrency;Ethereum;mining;Nvidia
01/01/2019;10;33;9;8;42;72
01/02/2019;10;34;10;7;44;69
01/03/2019;8;32;8;6;41;60
01/04/2019;12;38;9;7;41;52
01/05/2019;18;40;11;9;41;47
01/06/2019;20;36;13;9;41;52
01/07/2019;19;32;10;15;42;52
01/08/2019;16;30;8;6;43;53
01/09/2019;13;31;8;6;42;54
01/10/2019;13;30;7;5;40;55
01/11/2019;12;31;7;5;41;60
01/12/2019;11;25;7;5;37;62
01/01/2020;13;28;7;7;40;62
01/02/2020;14;28;9;12;43;68
01/03/2020;20;24;9;9;39;65
01/04/2020;16;26;9;10;41;69
01/05/2020;20;28;10;11;43;73
01/06/2020;14;25;9;11;43;69
01/07/2020;15;29;10;14;46;65
01/08/2020;16;28;12;21;47;68
01/09/2020;12;25;10;14;48;100
01/10/2020;14;24;8;10;45;67
01/11/2020;24;29;12;21;44;66
01/12/2020;31;30;17;26;46;73
01/01/2021;65;45;34;85;62;68
01/02/2021;68;58;48;100;78;64
01/03/2021;50;50;32;61;71;56
