cryptocurrency;Date
0;"""2015-08-01T00:00:00.000Z"""
0;"""2015-09-01T00:00:00.000Z"""
0;"""2015-10-01T00:00:00.000Z"""
0;"""2015-11-01T00:00:00.000Z"""
0;"""2015-12-01T00:00:00.000Z"""
0;"""2016-01-01T00:00:00.000Z"""
0;"""2016-02-01T00:00:00.000Z"""
1;"""2016-03-01T00:00:00.000Z"""
1;"""2016-04-01T00:00:00.000Z"""
1;"""2016-05-01T00:00:00.000Z"""
1;"""2016-06-01T00:00:00.000Z"""
1;"""2016-07-01T00:00:00.000Z"""
1;"""2016-08-01T00:00:00.000Z"""
1;"""2016-09-01T00:00:00.000Z"""
1;"""2016-10-01T00:00:00.000Z"""
1;"""2016-11-01T00:00:00.000Z"""
1;"""2016-12-01T00:00:00.000Z"""
1;"""2017-01-01T00:00:00.000Z"""
1;"""2017-02-01T00:00:00.000Z"""
2;"""2017-03-01T00:00:00.000Z"""
3;"""2017-04-01T00:00:00.000Z"""
8;"""2017-05-01T00:00:00.000Z"""
15;"""2017-06-01T00:00:00.000Z"""
12;"""2017-07-01T00:00:00.000Z"""
19;"""2017-08-01T00:00:00.000Z"""
20;"""2017-09-01T00:00:00.000Z"""
18;"""2017-10-01T00:00:00.000Z"""
31;"""2017-11-01T00:00:00.000Z"""
88;"""2017-12-01T00:00:00.000Z"""
100;"""2018-01-01T00:00:00.000Z"""
51;"""2018-02-01T00:00:00.000Z"""
29;"""2018-03-01T00:00:00.000Z"""
23;"""2018-04-01T00:00:00.000Z"""
20;"""2018-05-01T00:00:00.000Z"""
17;"""2018-06-01T00:00:00.000Z"""
14;"""2018-07-01T00:00:00.000Z"""
14;"""2018-08-01T00:00:00.000Z"""
13;"""2018-09-01T00:00:00.000Z"""
12;"""2018-10-01T00:00:00.000Z"""
13;"""2018-11-01T00:00:00.000Z"""
10;"""2018-12-01T00:00:00.000Z"""
9;"""2019-01-01T00:00:00.000Z"""
10;"""2019-02-01T00:00:00.000Z"""
8;"""2019-03-01T00:00:00.000Z"""
9;"""2019-04-01T00:00:00.000Z"""
11;"""2019-05-01T00:00:00.000Z"""
13;"""2019-06-01T00:00:00.000Z"""
10;"""2019-07-01T00:00:00.000Z"""
8;"""2019-08-01T00:00:00.000Z"""
8;"""2019-09-01T00:00:00.000Z"""
7;"""2019-10-01T00:00:00.000Z"""
7;"""2019-11-01T00:00:00.000Z"""
7;"""2019-12-01T00:00:00.000Z"""
7;"""2020-01-01T00:00:00.000Z"""
9;"""2020-02-01T00:00:00.000Z"""
9;"""2020-03-01T00:00:00.000Z"""
9;"""2020-04-01T00:00:00.000Z"""
10;"""2020-05-01T00:00:00.000Z"""
9;"""2020-06-01T00:00:00.000Z"""
10;"""2020-07-01T00:00:00.000Z"""
12;"""2020-08-01T00:00:00.000Z"""
10;"""2020-09-01T00:00:00.000Z"""
8;"""2020-10-01T00:00:00.000Z"""
12;"""2020-11-01T00:00:00.000Z"""
17;"""2020-12-01T00:00:00.000Z"""
34;"""2021-01-01T00:00:00.000Z"""
48;"""2021-02-01T00:00:00.000Z"""
32;"""2021-03-01T00:00:00.000Z"""
