,Date,bitcoin,blockchain,cryptocurrency,Ethereum.csv,mining.csv,Nvidia.csv
0,2015-08-01 ,3,4,0,1,36,81
1,2015-09-01 ,2,5,0,0,35,68
2,2015-10-01 ,2,5,0,0,35,73
3,2015-11-01 ,3,7,0,1,36,82
4,2015-12-01 ,4,6,0,0,33,79
5,2016-01-01 ,3,7,0,1,35,57
6,2016-02-01 ,3,9,0,2,38,56
7,2016-03-01 ,3,9,1,4,38,58
8,2016-04-01 ,3,9,1,2,38,54
9,2016-05-01 ,4,12,1,3,36,62
10,2016-06-01 ,5,12,1,5,38,54
11,2016-07-01 ,4,10,1,3,35,53
12,2016-08-01 ,3,11,1,3,37,52
13,2016-09-01 ,3,13,1,2,36,52
14,2016-10-01 ,3,15,1,2,36,59
15,2016-11-01 ,4,16,1,2,38,57
16,2016-12-01 ,5,15,1,2,34,59
17,2017-01-01 ,6,17,1,2,38,56
18,2017-02-01 ,6,18,1,3,40,52
19,2017-03-01 ,7,21,2,8,42,54
20,2017-04-01 ,6,20,3,6,42,48
21,2017-05-01 ,15,29,8,23,47,47
22,2017-06-01 ,15,33,15,49,62,49
23,2017-07-01 ,13,29,12,30,55,48
24,2017-08-01 ,21,35,19,27,57,50
25,2017-09-01 ,21,39,20,23,56,47
26,2017-10-01 ,23,50,18,21,56,49
27,2017-11-01 ,45,66,31,37,70,56
28,2017-12-01 ,100,100,88,68,100,58
29,2018-01-01 ,56,89,100,63,93,61
30,2018-02-01 ,41,66,51,30,69,54
31,2018-03-01 ,23,56,29,19,57,54
32,2018-04-01 ,19,51,23,15,51,45
33,2018-05-01 ,15,53,20,15,50,46
34,2018-06-01 ,14,47,17,11,45,45
35,2018-07-01 ,13,43,14,9,48,51
36,2018-08-01 ,13,44,14,11,46,64
37,2018-09-01 ,12,45,13,11,45,68
38,2018-10-01 ,10,45,12,7,45,70
39,2018-11-01 ,14,42,13,8,45,77
40,2018-12-01 ,14,33,10,9,40,75
41,2019-01-01 ,10,33,9,8,42,72
42,2019-02-01 ,10,34,10,7,44,69
43,2019-03-01 ,8,32,8,6,41,60
44,2019-04-01 ,12,38,9,7,41,52
45,2019-05-01 ,18,40,11,9,41,47
46,2019-06-01 ,20,36,13,9,41,52
47,2019-07-01 ,19,32,10,15,42,52
48,2019-08-01 ,16,30,8,6,43,53
49,2019-09-01 ,13,31,8,6,42,54
50,2019-10-01 ,13,30,7,5,40,55
51,2019-11-01 ,12,31,7,5,41,60
52,2019-12-01 ,11,25,7,5,37,62
53,2020-01-01 ,13,28,7,7,40,62
54,2020-02-01 ,14,28,9,12,43,68
55,2020-03-01 ,20,24,9,9,39,65
56,2020-04-01 ,16,26,9,10,41,69
57,2020-05-01 ,20,28,10,11,43,73
58,2020-06-01 ,14,25,9,11,43,69
59,2020-07-01 ,15,29,10,14,46,65
60,2020-08-01 ,16,28,12,21,47,68
61,2020-09-01 ,12,25,10,14,48,100
62,2020-10-01 ,14,24,8,10,45,67
63,2020-11-01 ,24,29,12,21,44,66
64,2020-12-01 ,31,30,17,26,46,73
65,2021-01-01 ,65,45,34,85,62,68
66,2021-02-01 ,68,58,48,100,78,64
67,2021-03-01 ,50,50,32,61,71,56
