,0,1,2,3
1,"""Nvidia""","""2015-08-01T00:00:00.000Z""","""Nvidia""",85
2,"""Nvidia""","""2015-09-01T00:00:00.000Z""","""Nvidia""",70
3,"""Nvidia""","""2015-10-01T00:00:00.000Z""","""Nvidia""",73
4,"""Nvidia""","""2015-11-01T00:00:00.000Z""","""Nvidia""",84
5,"""Nvidia""","""2015-12-01T00:00:00.000Z""","""Nvidia""",83
6,"""Nvidia""","""2016-01-01T00:00:00.000Z""","""Nvidia""",60
7,"""Nvidia""","""2016-02-01T00:00:00.000Z""","""Nvidia""",59
8,"""Nvidia""","""2016-03-01T00:00:00.000Z""","""Nvidia""",58
9,"""Nvidia""","""2016-04-01T00:00:00.000Z""","""Nvidia""",53
10,"""Nvidia""","""2016-05-01T00:00:00.000Z""","""Nvidia""",62
11,"""Nvidia""","""2016-06-01T00:00:00.000Z""","""Nvidia""",57
12,"""Nvidia""","""2016-07-01T00:00:00.000Z""","""Nvidia""",55
13,"""Nvidia""","""2016-08-01T00:00:00.000Z""","""Nvidia""",54
14,"""Nvidia""","""2016-09-01T00:00:00.000Z""","""Nvidia""",56
15,"""Nvidia""","""2016-10-01T00:00:00.000Z""","""Nvidia""",59
16,"""Nvidia""","""2016-11-01T00:00:00.000Z""","""Nvidia""",58
17,"""Nvidia""","""2016-12-01T00:00:00.000Z""","""Nvidia""",59
18,"""Nvidia""","""2017-01-01T00:00:00.000Z""","""Nvidia""",59
19,"""Nvidia""","""2017-02-01T00:00:00.000Z""","""Nvidia""",55
20,"""Nvidia""","""2017-03-01T00:00:00.000Z""","""Nvidia""",55
21,"""Nvidia""","""2017-04-01T00:00:00.000Z""","""Nvidia""",51
22,"""Nvidia""","""2017-05-01T00:00:00.000Z""","""Nvidia""",51
23,"""Nvidia""","""2017-06-01T00:00:00.000Z""","""Nvidia""",51
24,"""Nvidia""","""2017-07-01T00:00:00.000Z""","""Nvidia""",49
25,"""Nvidia""","""2017-08-01T00:00:00.000Z""","""Nvidia""",49
26,"""Nvidia""","""2017-09-01T00:00:00.000Z""","""Nvidia""",49
27,"""Nvidia""","""2017-10-01T00:00:00.000Z""","""Nvidia""",51
28,"""Nvidia""","""2017-11-01T00:00:00.000Z""","""Nvidia""",60
29,"""Nvidia""","""2017-12-01T00:00:00.000Z""","""Nvidia""",62
30,"""Nvidia""","""2018-01-01T00:00:00.000Z""","""Nvidia""",64
31,"""Nvidia""","""2018-02-01T00:00:00.000Z""","""Nvidia""",57
32,"""Nvidia""","""2018-03-01T00:00:00.000Z""","""Nvidia""",55
33,"""Nvidia""","""2018-04-01T00:00:00.000Z""","""Nvidia""",46
34,"""Nvidia""","""2018-05-01T00:00:00.000Z""","""Nvidia""",49
35,"""Nvidia""","""2018-06-01T00:00:00.000Z""","""Nvidia""",48
36,"""Nvidia""","""2018-07-01T00:00:00.000Z""","""Nvidia""",53
37,"""Nvidia""","""2018-08-01T00:00:00.000Z""","""Nvidia""",68
38,"""Nvidia""","""2018-09-01T00:00:00.000Z""","""Nvidia""",72
39,"""Nvidia""","""2018-10-01T00:00:00.000Z""","""Nvidia""",76
40,"""Nvidia""","""2018-11-01T00:00:00.000Z""","""Nvidia""",81
41,"""Nvidia""","""2018-12-01T00:00:00.000Z""","""Nvidia""",76
42,"""Nvidia""","""2019-01-01T00:00:00.000Z""","""Nvidia""",76
43,"""Nvidia""","""2019-02-01T00:00:00.000Z""","""Nvidia""",66
44,"""Nvidia""","""2019-03-01T00:00:00.000Z""","""Nvidia""",64
45,"""Nvidia""","""2019-04-01T00:00:00.000Z""","""Nvidia""",55
46,"""Nvidia""","""2019-05-01T00:00:00.000Z""","""Nvidia""",47
47,"""Nvidia""","""2019-06-01T00:00:00.000Z""","""Nvidia""",53
48,"""Nvidia""","""2019-07-01T00:00:00.000Z""","""Nvidia""",55
49,"""Nvidia""","""2019-08-01T00:00:00.000Z""","""Nvidia""",54
50,"""Nvidia""","""2019-09-01T00:00:00.000Z""","""Nvidia""",56
51,"""Nvidia""","""2019-10-01T00:00:00.000Z""","""Nvidia""",59
52,"""Nvidia""","""2019-11-01T00:00:00.000Z""","""Nvidia""",63
53,"""Nvidia""","""2019-12-01T00:00:00.000Z""","""Nvidia""",64
54,"""Nvidia""","""2020-01-01T00:00:00.000Z""","""Nvidia""",63
55,"""Nvidia""","""2020-02-01T00:00:00.000Z""","""Nvidia""",70
56,"""Nvidia""","""2020-03-01T00:00:00.000Z""","""Nvidia""",70
57,"""Nvidia""","""2020-04-01T00:00:00.000Z""","""Nvidia""",70
58,"""Nvidia""","""2020-05-01T00:00:00.000Z""","""Nvidia""",76
59,"""Nvidia""","""2020-06-01T00:00:00.000Z""","""Nvidia""",71
60,"""Nvidia""","""2020-07-01T00:00:00.000Z""","""Nvidia""",66
61,"""Nvidia""","""2020-08-01T00:00:00.000Z""","""Nvidia""",70
62,"""Nvidia""","""2020-09-01T00:00:00.000Z""","""Nvidia""",100
63,"""Nvidia""","""2020-10-01T00:00:00.000Z""","""Nvidia""",71
64,"""Nvidia""","""2020-11-01T00:00:00.000Z""","""Nvidia""",69
65,"""Nvidia""","""2020-12-01T00:00:00.000Z""","""Nvidia""",75
66,"""Nvidia""","""2021-01-01T00:00:00.000Z""","""Nvidia""",67
67,"""Nvidia""","""2021-02-01T00:00:00.000Z""","""Nvidia""",62
68,"""Nvidia""","""2021-03-01T00:00:00.000Z""","""Nvidia""",58
